Usage
21.533
8.78
21.898
20.321
20.243
26.347
52.143
18.907
48.666
44.917
30.987
2.065
54.665
71.604
10.138
34.63
45.714
15.075
33.98
72.792
59.573
43.897
27.67
54.405
59.935
64.872
80.433
76.45
50.664
56.075
59.663
55.26
58.037
77.226
61.052
36.168
48.733
46.016
63.674
53.419
53.761
50.634
49.831
55.499
55.948
56.393
39.97
64.833
75.02
57.755
61.856
60.698
56.228
52.784
58.799
76.31
50.145
65.911
74.469
62.188
72.71
82.27
53.562
73.425
77.917
76.982
34.794
75.39
73.3
93.191
78.764
79.262
66.709
51.665
54.952
103.744
83.004
62.896
44.374
78.481
76.299
77.044
104.29
62.738
65.704
72.697
73.198
51.255
72.175
81.052
80.733
61.473
67.086
53.456
65.917
67.249
60.049
61.096
46.06
62.807
73.701
70.544
72.124
80.08
76.326
70.713
71.115
67.437
56.447
70.849
69.18
72.551
56.195
70.847
71.355
73.659
75.094
70.321
64.758
64.157
70.402
70.5
68.646
68.977
78.4
70.652
67.168
73.665
76.149
72.635
74.223
73.892
49.887
40.324
69.116
62.214
49.732
56.497
69.841
59.556
60.261
66.625
64.115
63.927
69.165
59.523
60.67
62.216
60.424
50.319
50.61
50.109
45.372
44.415
52.643
53.765
54.94
51.283
52.035
64.833
34.853
42.802
49.677
58.125
38.518
45.872
39.116
33.486
43.019
27.48
33.933
40.663
47.207
48.1
29.366
52.401
40.023
37.925
43.428
38.76
31.638
12.248
26.562
20.283
10.329
8.377
15.406
15.508
21.121
37.728
42.165
43.92
41.99
14.674
24.381
14.17
20.537
17.766
25.839
23.242
25.662
5.072
10.192
21.353
11.009
21.251
26.954
33.51
32.36
26.291
9.407
15.563
5.458
13.556
17.629
21.988
4.986
19.982
14.856
9.254
11.736
1.855
3.706
3.72
13.016
8.2
11.768
18.401
13.433
10.735
19.141
30.829
13.271
32.303
28.807
30.773
14.596
13.591
20.103
5.429
4.061
8.336
9.375
6.004
6.691
18.127
13.722
13.394
16.914
21.541
20.707
22.915
3.635
12.708
4.603
12.641
14.206
9.563
7.806
10.867
12.57
12.691
1.725
6.586
3.834
5.063
8.226
8.393
14.086
18.707
12.423
25.945
25.298
19.238
17.699
15.039
16.042
13.017
14.364
12.288
12.02
14.473
19.147
17.12
19.809
34.814
20.468
25.777
41.688
21.803
15.663
23.539
35.302
16.054
17.722
24.985
19.079
31.018
33.189
42.206
19.105
18.838
22.135
19.368
25.302
29.858
6.546
13.365
26.78
40.978
35.54
44.649
17.644
36.797
45.575
21.9
34.85
45.619
46.023
49.269
63.649
65.746
57.307
14.639
31.427
36.642
33.846
59.461
40.814
50.57
45.813
44.266
48.329
49.915
42.759
46.188
51.168
26.84
3.572
51.32
60.514
61.95
43.926
58.904
62.455
58.617
28.9
37.118
44.945
71.587
61.465
59.204
52.063
45.347
27.664
71.372
61.977
56.666
66.578
61.069
39.65
42.128
35.805
68.798
70.712
63.451
49.67
60.222
65.24
61.976
75.594
68.186
52.767
66.953
44.714
72.887
74.549
73.196
32.252
59.916
55.193
49.272
31.146
63.83
65.14
66.964
66.789
64.305
58.66
78.661
69.714
65.036
61.529
66.604
60.763
63.768
70.902
65.075
64.706
61.917
